"county","county_ascii","county_full","county_fips","state_id","state_name","lat","lng","population"
"Bartow","Bartow","Bartow County","13015","GA","Georgia","34.2377","-84.8403","104919"
"Yamhill","Yamhill","Yamhill County","41071","OR","Oregon","45.2326","-123.3081","104831"
"Houston","Houston","Houston County","01069","AL","Alabama","31.1532","-85.3025","104702"
"Madison","Madison","Madison County","28089","MS","Mississippi","32.6347","-90.0337","104562"
"DeKalb","DeKalb","DeKalb County","17037","IL","Illinois","41.8935","-88.7703","104366"
"Whitfield","Whitfield","Whitfield County","13313","GA","Georgia","34.8056","-84.9672","104237"
"Bay","Bay","Bay County","26017","MI","Michigan","43.7080","-83.9916","104104"
"Cass","Cass","Cass County","29037","MO","Missouri","38.6470","-94.3549","103597"
"Eau Claire","Eau Claire","Eau Claire County","55035","WI","Wisconsin","44.7268","-91.2860","103514"
"Highlands","Highlands","Highlands County","12055","FL","Florida","27.3433","-81.3410","103437"
"Franklin","Franklin","Franklin County","29071","MO","Missouri","38.4111","-91.0750","103191"
"Columbiana","Columbiana","Columbiana County","39029","OH","Ohio","40.7684","-80.7772","103190"
"Allen","Allen","Allen County","39003","OH","Ohio","40.7715","-84.1058","103175"
"Walworth","Walworth","Walworth County","55127","WI","Wisconsin","42.6685","-88.5419","103074"
"Etowah","Etowah","Etowah County","01055","AL","Alabama","34.0453","-86.0348","102748"
"Tompkins","Tompkins","Tompkins County","36109","NY","New York","42.4520","-76.4736","102642"
"Fond du Lac","Fond du Lac","Fond du Lac County","55039","WI","Wisconsin","43.7536","-88.4883","102597"
"Woodbury","Woodbury","Woodbury County","19193","IA","Iowa","42.3897","-96.0448","102586"
"Cecil","Cecil","Cecil County","24015","MD","Maryland","39.5712","-75.9407","102552"
"Wicomico","Wicomico","Wicomico County","24045","MD","Maryland","38.3733","-75.6208","102539"
"Craven","Craven","Craven County","37049","NC","North Carolina","35.1249","-77.0939","102491"
"Adams","Adams","Adams County","42001","PA","Pennsylvania","39.8715","-77.2179","102470"
"Carver","Carver","Carver County","27019","MN","Minnesota","44.8208","-93.8026","101949"
"Platte","Platte","Platte County","29165","MO","Missouri","39.3803","-94.7738","100682"
"Daviess","Daviess","Daviess County","21059","KY","Kentucky","37.7318","-87.0873","100474"
"Flathead","Flathead","Flathead County","30029","MT","Montana","48.2951","-114.0497","99899"
"Nevada","Nevada","Nevada County","06057","CA","California","39.3014","-120.7685","99244"
"Roanoke","Roanoke","Roanoke City","51770","VA","Virginia","37.2785","-79.9580","99229"
"Fairbanks North Star","Fairbanks North Star","Fairbanks North Star Borough","02090","AK","Alaska","64.8078","-146.5654","99072"
"Putnam","Putnam","Putnam County","36079","NY","New York","41.4267","-73.7495","98787"
"Garland","Garland","Garland County","05051","AR","Arkansas","34.5767","-93.1504","98555"
"Lenawee","Lenawee","Lenawee County","26091","MI","Michigan","41.8951","-84.0664","98381"
"Laramie","Laramie","Laramie County","56021","WY","Wyoming","41.3070","-104.6895","98320"
"Montgomery","Montgomery","Montgomery County","51121","VA","Virginia","37.1743","-80.3872","98140"
"Lafourche","Lafourche","Lafourche Parish","22057","LA","Louisiana","29.5662","-90.4258","98108"
"Ashtabula","Ashtabula","Ashtabula County","39007","OH","Ohio","41.7075","-80.7483","97830"
"Madison","Madison","Madison County","47113","TN","Tennessee","35.6081","-88.8385","97625"
"Floyd","Floyd","Floyd County","13115","GA","Georgia","34.2632","-85.2143","97369"
"Moore","Moore","Moore County","37125","NC","North Carolina","35.3106","-79.4814","97294"
"Cleveland","Cleveland","Cleveland County","37045","NC","North Carolina","35.3341","-81.5555","97282"
"Rockwall","Rockwall","Rockwall County","48397","TX","Texas","32.8977","-96.4078","97175"
"Sevier","Sevier","Sevier County","47155","TN","Tennessee","35.7846","-83.5242","97068"
"Dubuque","Dubuque","Dubuque County","19061","IA","Iowa","42.4688","-90.8825","96982"
"Story","Story","Story County","19169","IA","Iowa","42.0362","-93.4650","96941"
"Steuben","Steuben","Steuben County","36101","NY","New York","42.2678","-77.3838","96422"
"Sutter","Sutter","Sutter County","06101","CA","California","39.0346","-121.6948","96109"
"Marshall","Marshall","Marshall County","01095","AL","Alabama","34.3670","-86.3066","95643"
"Grant","Grant","Grant County","53025","WA","Washington","47.2057","-119.4518","95502"
"Portsmouth","Portsmouth","Portsmouth City","51740","VA","Virginia","36.8468","-76.3540","95097"
"Burleigh","Burleigh","Burleigh County","38015","ND","North Dakota","46.9775","-100.4687","94793"
"Limestone","Limestone","Limestone County","01083","AL","Alabama","34.8101","-86.9814","94727"
"Sherburne","Sherburne","Sherburne County","27141","MN","Minnesota","45.4439","-93.7746","94463"
"Cabell","Cabell","Cabell County","54011","WV","West Virginia","38.4203","-82.2417","94339"
"Hunt","Hunt","Hunt County","48231","TX","Texas","33.1236","-96.0855","94162"
"Nash","Nash","Nash County","37127","NC","North Carolina","35.9673","-77.9864","94030"
"Geauga","Geauga","Geauga County","39055","OH","Ohio","41.4996","-81.1786","93843"
"Roanoke","Roanoke","Roanoke County","51161","VA","Virginia","37.2693","-80.0680","93823"
"Pottawattamie","Pottawattamie","Pottawattamie County","19155","IA","Iowa","41.3366","-95.5423","93393"
"Bowie","Bowie","Bowie County","48037","TX","Texas","33.4458","-94.4234","93373"
"Cape May","Cape May","Cape May County","34009","NJ","New Jersey","39.1490","-74.8002","93086"
"Campbell","Campbell","Campbell County","21037","KY","Kentucky","38.9465","-84.3795","92861"
"Lauderdale","Lauderdale","Lauderdale County","01077","AL","Alabama","34.9014","-87.6540","92556"
"Tuscarawas","Tuscarawas","Tuscarawas County","39157","OH","Ohio","40.4409","-81.4738","92335"
"Lancaster","Lancaster","Lancaster County","45057","SC","South Carolina","34.6867","-80.7054","92308"
"Grand Traverse","Grand Traverse","Grand Traverse County","26055","MI","Michigan","44.6688","-85.5605","92181"
"Victoria","Victoria","Victoria County","48469","TX","Texas","28.7964","-96.9715","92109"
"Franklin","Franklin","Franklin County","53021","WA","Washington","46.5347","-118.8989","92009"
"Maury","Maury","Maury County","47119","TN","Tennessee","35.6169","-87.0770","91976"
"Northumberland","Northumberland","Northumberland County","42097","PA","Pennsylvania","40.8520","-76.7093","91761"
"Calvert","Calvert","Calvert County","24009","MD","Maryland","38.5434","-76.5687","91511"
"Walton","Walton","Walton County","13297","GA","Georgia","33.7816","-83.7339","91442"
"Rogers","Rogers","Rogers County","40131","OK","Oklahoma","36.3716","-95.6044","91353"
"Benton","Benton","Benton County","41003","OR","Oregon","44.4918","-123.4293","91107"
"Rockingham","Rockingham","Rockingham County","37157","NC","North Carolina","36.3960","-79.7750","91077"
"Madison","Madison","Madison County","21151","KY","Kentucky","37.7202","-84.2780","90802"
"Wayne","Wayne","Wayne County","36117","NY","New York","43.1566","-77.0294","90519"
"Suffolk","Suffolk","Suffolk City","51800","VA","Virginia","36.6953","-76.6398","90093"
"Burke","Burke","Burke County","37023","NC","North Carolina","35.7496","-81.7048","89968"
"Grafton","Grafton","Grafton County","33009","NH","New Hampshire","43.9406","-71.8208","89777"
"Rockdale","Rockdale","Rockdale County","13247","GA","Georgia","33.6542","-84.0266","89717"
"Dougherty","Dougherty","Dougherty County","13095","GA","Georgia","31.5335","-84.2164","89703"
"St. Croix","St. Croix","St. Croix County","55109","WI","Wisconsin","45.0341","-92.4528","88732"
"Ozaukee","Ozaukee","Ozaukee County","55089","WI","Wisconsin","43.3840","-87.9509","88597"
"Buchanan","Buchanan","Buchanan County","29021","MO","Missouri","39.6598","-94.8059","88460"
"Lapeer","Lapeer","Lapeer County","26087","MI","Michigan","43.0901","-83.2218","88038"
"St. Clair","St. Clair","St. Clair County","01115","AL","Alabama","33.7157","-86.3146","87989"
"Dodge","Dodge","Dodge County","55027","WI","Wisconsin","43.4163","-88.7075","87715"
"Orangeburg","Orangeburg","Orangeburg County","45075","SC","South Carolina","33.4390","-80.8003","87687"
"Angelina","Angelina","Angelina County","48005","TX","Texas","31.2548","-94.6119","87322"
"Mendocino","Mendocino","Mendocino County","06045","CA","California","39.4402","-123.3915","87224"
"Dallas","Dallas","Dallas County","19049","IA","Iowa","41.6849","-94.0398","87099"
"Lawrence","Lawrence","Lawrence County","42073","PA","Pennsylvania","40.9912","-80.3347","86727"
"Frederick","Frederick","Frederick County","51069","VA","Virginia","39.2046","-78.2625","86415"
"Josephine","Josephine","Josephine County","41033","OR","Oregon","42.3655","-123.5555","86251"
"Muskingum","Muskingum","Muskingum County","39119","OH","Ohio","39.9654","-81.9444","86131"
"Bannock","Bannock","Bannock County","16005","ID","Idaho","42.6685","-112.2246","85765"
"Crawford","Crawford","Crawford County","42039","PA","Pennsylvania","41.6847","-80.1063","85665"
"Christian","Christian","Christian County","29043","MO","Missouri","36.9696","-93.1889","85658"
"Lee","Lee","Lee County","28081","MS","Mississippi","34.2899","-88.6804","85072"
"Indiana","Indiana","Indiana County","42063","PA","Pennsylvania","40.6521","-79.0875","85032"
"Wood","Wood","Wood County","54107","WV","West Virginia","39.2112","-81.5150","84960"
"Chemung","Chemung","Chemung County","36015","NY","New York","42.1413","-76.7600","84895"
"Twin Falls","Twin Falls","Twin Falls County","16083","ID","Idaho","42.3560","-114.6672","84869"
"Jefferson","Jefferson","Jefferson County","55055","WI","Wisconsin","43.0208","-88.7759","84701"
"Bastrop","Bastrop","Bastrop County","48021","TX","Texas","30.1036","-97.3120","84522"
"Glynn","Glynn","Glynn County","13127","GA","Georgia","31.2309","-81.5407","84470"
"Orange","Orange","Orange County","48361","TX","Texas","30.1213","-93.8939","84069"
"Liberty","Liberty","Liberty County","48291","TX","Texas","30.1516","-94.8122","83702"
"Midland","Midland","Midland County","26111","MI","Michigan","43.6468","-84.3881","83355"
"St. Landry","St. Landry","St. Landry Parish","22097","LA","Louisiana","30.5988","-92.0059","83172"
"Nassau","Nassau","Nassau County","12089","FL","Florida","30.6106","-81.8016","83098"
"Polk","Polk","Polk County","41053","OR","Oregon","44.9035","-123.4132","83037"
"Lincoln","Lincoln","Lincoln County","37109","NC","North Carolina","35.4856","-81.2235","82919"
"Island","Island","Island County","53029","WA","Washington","48.1630","-122.5481","82866"
"Cullman","Cullman","Cullman County","01043","AL","Alabama","34.1319","-86.8676","82853"
"Newport","Newport","Newport County","44005","RI","Rhode Island","41.5564","-71.2368","82801"
"Bartholomew","Bartholomew","Bartholomew County","18005","IN","Indiana","39.2060","-85.8976","82481"
"Howard","Howard","Howard County","18067","IN","Indiana","40.4836","-86.1170","82331"
"Caldwell","Caldwell","Caldwell County","37027","NC","North Carolina","35.9530","-81.5464","81884"
"Payne","Payne","Payne County","40119","OK","Oklahoma","36.0773","-96.9756","81815"
"Cascade","Cascade","Cascade County","30013","MT","Montana","47.3080","-111.3470","81625"
"Wilson","Wilson","Wilson County","37195","NC","North Carolina","35.7051","-77.9187","81435"
"Elmore","Elmore","Elmore County","01051","AL","Alabama","32.5966","-86.1492","81144"
"Henderson","Henderson","Henderson County","48213","TX","Texas","32.2119","-95.8536","81070"
"Leavenworth","Leavenworth","Leavenworth County","20103","KS","Kansas","39.1993","-95.0380","80745"
"Clinton","Clinton","Clinton County","36019","NY","New York","44.7462","-73.6782","80583"
"Lynchburg","Lynchburg","Lynchburg City","51680","VA","Virginia","37.4003","-79.1909","80569"
"Talladega","Talladega","Talladega County","01121","AL","Alabama","33.3801","-86.1659","80387"
"Natrona","Natrona","Natrona County","56025","WY","Wyoming","42.9621","-106.7985","80333"
"Rockingham","Rockingham","Rockingham County","51165","VA","Virginia","38.5120","-78.8758","80284"
"Bullitt","Bullitt","Bullitt County","21029","KY","Kentucky","37.9701","-85.6959","80171"
"Clearfield","Clearfield","Clearfield County","42033","PA","Pennsylvania","41.0002","-78.4741","79908"
"Manitowoc","Manitowoc","Manitowoc County","55071","WI","Wisconsin","44.1199","-87.8097","79185"
"Kosciusko","Kosciusko","Kosciusko County","18085","IN","Indiana","41.2441","-85.8607","79035"
"Barrow","Barrow","Barrow County","13013","GA","Georgia","33.9932","-83.7127","78991"
"Wagoner","Wagoner","Wagoner County","40145","OK","Oklahoma","35.9611","-95.5212","78958"
"White","White","White County","05145","AR","Arkansas","35.2563","-91.7455","78762"
"Cape Girardeau","Cape Girardeau","Cape Girardeau County","29031","MO","Missouri","37.3840","-89.6845","78491"
"Clinton","Clinton","Clinton County","26037","MI","Michigan","42.9437","-84.6015","78389"
"Bedford","Bedford","Bedford County","51019","VA","Virginia","37.3152","-79.5242","78376"
"Lewis","Lewis","Lewis County","53041","WA","Washington","46.5778","-122.3927","78145"
"Vermilion","Vermilion","Vermilion County","17183","IL","Illinois","40.1834","-87.7328","77563"
"Oconee","Oconee","Oconee County","45073","SC","South Carolina","34.7534","-83.0658","77528"
"Putnam","Putnam","Putnam County","47141","TN","Tennessee","36.1408","-85.4952","77447"
"Cayuga","Cayuga","Cayuga County","36011","NY","New York","42.9175","-76.5545","77425"
"Floyd","Floyd","Floyd County","18043","IN","Indiana","38.3189","-85.9068","77320"
"Umatilla","Umatilla","Umatilla County","41059","OR","Oregon","45.5919","-118.7368","77129"
"Cattaraugus","Cattaraugus","Cattaraugus County","36009","NY","New York","42.2486","-78.6789","77121"
"Ross","Ross","Ross County","39141","OH","Ohio","39.3376","-83.0570","76948"
"Cole","Cole","Cole County","29051","MO","Missouri","38.5054","-92.2816","76723"
"Yuba","Yuba","Yuba County","06115","CA","California","39.2690","-121.3513","76360"
"Lauderdale","Lauderdale","Lauderdale County","28075","MS","Mississippi","32.4043","-88.6625","76279"
"Chelan","Chelan","Chelan County","53007","WA","Washington","47.8692","-120.6190","76229"
"Bulloch","Bulloch","Bulloch County","13031","GA","Georgia","32.3968","-81.7432","76120"
"Anderson","Anderson","Anderson County","47001","TN","Tennessee","36.1185","-84.1985","76061"
"Cheshire","Cheshire","Cheshire County","33005","NH","New Hampshire","42.9194","-72.2512","76042"
"Scioto","Scioto","Scioto County","39145","OH","Ohio","38.8040","-82.9928","76040"
"Valencia","Valencia","Valencia County","35061","NM","New Mexico","34.7155","-106.8090","76027"
"Hancock","Hancock","Hancock County","39063","OH","Ohio","41.0019","-83.6665","75837"
"Monroe","Monroe","Monroe County","12087","FL","Florida","25.3156","-81.1106","75798"
"Clallam","Clallam","Clallam County","53009","WA","Washington","48.0493","-123.9280","75392"
"Van Buren","Van Buren","Van Buren County","26159","MI","Michigan","42.2513","-86.0189","75358"
"Coryell","Coryell","Coryell County","48099","TX","Texas","31.3909","-97.7992","75280"
"Raleigh","Raleigh","Raleigh County","54081","WV","West Virginia","37.7714","-81.2486","75252"
"Forrest","Forrest","Forrest County","28035","MS","Mississippi","31.1889","-89.2579","75224"
"Hancock","Hancock","Hancock County","18059","IN","Indiana","39.8236","-85.7733","75164"
"Sullivan","Sullivan","Sullivan County","36105","NY","New York","41.7164","-74.7681","75116"
"Augusta","Augusta","Augusta County","51015","VA","Virginia","38.1644","-79.1338","75079"
"Riley","Riley","Riley County","20161","KS","Kansas","39.2966","-96.7352","75056"
"James City","James City","James City County","51095","VA","Virginia","37.3288","-76.7788","74916"
"Erie","Erie","Erie County","39043","OH","Ohio","41.3632","-82.6192","74780"
"Somerset","Somerset","Somerset County","42111","PA","Pennsylvania","39.9725","-79.0283","74361"
"Putnam","Putnam","Putnam County","12107","FL","Florida","29.6087","-81.7443","73252"
"Wood","Wood","Wood County","55141","WI","Wisconsin","44.4553","-90.0416","73112"
"Grays Harbor","Grays Harbor","Grays Harbor County","53027","WA","Washington","47.1503","-123.7735","72779"
"Lonoke","Lonoke","Lonoke County","05085","AR","Arkansas","34.7542","-91.8888","72528"
"McKinley","McKinley","McKinley County","35031","NM","New Mexico","35.5807","-108.2618","72438"
"Walker","Walker","Walker County","48471","TX","Texas","30.7390","-95.5723","72321"
"Pottawatomie","Pottawatomie","Pottawatomie County","40125","OK","Oklahoma","35.2066","-96.9484","72154"
"Surry","Surry","Surry County","37171","NC","North Carolina","36.4148","-80.6881","71971"
"Iberia","Iberia","Iberia Parish","22045","LA","Louisiana","29.8965","-91.7300","71887"
"Kauai","Kauai","Kauai County","15007","HI","Hawaii","22.0396","-159.5963","71769"
"Apache","Apache","Apache County","04001","AZ","Arizona","35.3955","-109.4888","71511"
"Allegany","Allegany","Allegany County","24001","MD","Maryland","39.6215","-78.6976","71445"
"Creek","Creek","Creek County","40037","OK","Oklahoma","35.9026","-96.3708","71427"
"Christian","Christian","Christian County","21047","KY","Kentucky","36.8942","-87.4905","71414"
"Chatham","Chatham","Chatham County","37037","NC","North Carolina","35.7026","-79.2553","71338"
"DeKalb","DeKalb","DeKalb County","01049","AL","Alabama","34.4598","-85.8041","71310"
"Madison","Madison","Madison County","36053","NY","New York","42.9128","-75.6696","71205"
"Isabella","Isabella","Isabella County","26073","MI","Michigan","43.6406","-84.8468","70688"
"Portage","Portage","Portage County","55097","WI","Wisconsin","44.4760","-89.5014","70632"
"Franklin","Franklin","Franklin County","25011","MA","Massachusetts","42.5831","-72.5918","70577"
"Greenwood","Greenwood","Greenwood County","45047","SC","South Carolina","34.1538","-82.1259","70411"
"Robertson","Robertson","Robertson County","47147","TN","Tennessee","36.5255","-86.8706","70280"
"Lea","Lea","Lea County","35025","NM","New Mexico","32.7921","-103.4125","70277"
"Grand Forks","Grand Forks","Grand Forks County","38035","ND","North Dakota","47.9219","-97.4569","70224"
"Columbia","Columbia","Columbia County","12023","FL","Florida","30.2242","-82.6215","69968"
"Morgan","Morgan","Morgan County","18109","IN","Indiana","39.4816","-86.4462","69922"
"Troup","Troup","Troup County","13285","GA","Georgia","33.0335","-85.0284","69919"
"Fauquier","Fauquier","Fauquier County","51061","VA","Virginia","38.7386","-77.8092","69728"
"Jefferson","Jefferson","Jefferson County","05069","AR","Arkansas","34.2688","-91.9315","69282"
"Carteret","Carteret","Carteret County","37031","NC","North Carolina","34.8357","-76.6589","69070"
"Walker","Walker","Walker County","13295","GA","Georgia","34.7356","-85.3010","69039"
"Greene","Greene","Greene County","47059","TN","Tennessee","36.1753","-82.8458","68834"
"Ward","Ward","Ward County","38101","ND","North Dakota","48.2217","-101.5418","68812"
"Muskogee","Muskogee","Muskogee County","40101","OK","Oklahoma","35.6161","-95.3795","68736"
"Wilkes","Wilkes","Wilkes County","37193","NC","North Carolina","36.2063","-81.1634","68469"
"Jones","Jones","Jones County","28067","MS","Mississippi","31.6226","-89.1688","68352"
"Shiawassee","Shiawassee","Shiawassee County","26155","MI","Michigan","42.9537","-84.1467","68340"
"Walton","Walton","Walton County","12131","FL","Florida","30.6436","-86.1697","68262"
"Belmont","Belmont","Belmont County","39013","OH","Ohio","40.0158","-80.9885","68024"
"York","York","York County","51199","VA","Virginia","37.2432","-76.5636","67982"
"Harrison","Harrison","Harrison County","54033","WV","West Virginia","39.2835","-80.3799","67908"
"Broomfield","Broomfield","Broomfield County","08014","CO","Colorado","39.9541","-105.0527","67886"
"Jackson","Jackson","Jackson County","13157","GA","Georgia","34.1339","-83.5664","67885"
"Aroostook","Aroostook","Aroostook County","23003","ME","Maine","46.6589","-68.5989","67809"
"Lewis and Clark","Lewis and Clark","Lewis and Clark County","30049","MT","Montana","47.1224","-112.3904","67805"
"Tooele","Tooele","Tooele County","49045","UT","Utah","40.4488","-113.1311","67397"
"Williamson","Williamson","Williamson County","17199","IL","Illinois","37.7303","-88.9299","67102"
"Darlington","Darlington","Darlington County","45031","SC","South Carolina","34.3325","-79.9577","67027"
"San Patricio","San Patricio","San Patricio County","48409","TX","Texas","28.0091","-97.5186","67008"
"Klamath","Klamath","Klamath County","41035","OR","Oregon","42.6864","-121.6502","66921"
"Laurens","Laurens","Laurens County","45059","SC","South Carolina","34.4836","-82.0059","66846"
"Blue Earth","Blue Earth","Blue Earth County","27013","MN","Minnesota","44.0346","-94.0670","66795"
"Catoosa","Catoosa","Catoosa County","13047","GA","Georgia","34.9036","-85.1382","66700"
"Butler","Butler","Butler County","20015","KS","Kansas","37.7812","-96.8390","66698"
"Marquette","Marquette","Marquette County","26103","MI","Michigan","46.4314","-87.6416","66686"
"St. Francois","St. Francois","St. Francois County","29187","MO","Missouri","37.8102","-90.4722","66643"
"Rutherford","Rutherford","Rutherford County","37161","NC","North Carolina","35.4026","-81.9198","66599"
"Harrison","Harrison","Harrison County","48203","TX","Texas","32.5481","-94.3715","66580"
"Grant","Grant","Grant County","18053","IN","Indiana","40.5158","-85.6547","66452"
"Jefferson","Jefferson","Jefferson County","39081","OH","Ohio","40.3850","-80.7610","66371"
"Franklin","Franklin","Franklin County","37069","NC","North Carolina","36.0828","-78.2857","66362"
"Wayne","Wayne","Wayne County","18177","IN","Indiana","39.8644","-85.0098","66342"
"Wise","Wise","Wise County","48497","TX","Texas","33.2159","-97.6545","66290"
"Rice","Rice","Rice County","27131","MN","Minnesota","44.3543","-93.2967","66185"
"Otero","Otero","Otero County","35035","NM","New Mexico","32.6132","-105.7415","66137"
"Adams","Adams","Adams County","17001","IL","Illinois","39.9879","-91.1885","66085"
"Oldham","Oldham","Oldham County","21185","KY","Kentucky","38.3994","-85.4483","65967"
"Athens","Athens","Athens County","39009","OH","Ohio","39.3339","-82.0452","65917"
"Armstrong","Armstrong","Armstrong County","42005","PA","Pennsylvania","40.8123","-79.4645","65867"
"Columbia","Columbia","Columbia County","42037","PA","Pennsylvania","41.0487","-76.4052","65715"
"Boone","Boone","Boone County","18011","IN","Indiana","40.0508","-86.4687","65544"
"Nacogdoches","Nacogdoches","Nacogdoches County","48347","TX","Texas","31.6160","-94.6159","65339"
"Spalding","Spalding","Spalding County","13255","GA","Georgia","33.2609","-84.2841","65306"
"Marion","Marion","Marion County","39101","OH","Ohio","40.5872","-83.1609","65299"
"McCracken","McCracken","McCracken County","21145","KY","Kentucky","37.0540","-88.7127","65268"
"Chaves","Chaves","Chaves County","35005","NM","New Mexico","33.3633","-104.4669","65144"
"Kershaw","Kershaw","Kershaw County","45055","SC","South Carolina","34.3388","-80.5902","65112"
"Pulaski","Pulaski","Pulaski County","21199","KY","Kentucky","37.1039","-84.5773","64350"
"Ionia","Ionia","Ionia County","26067","MI","Michigan","42.9451","-85.0746","64300"
"Warren","Warren","Warren County","36113","NY","New York","43.5610","-73.8460","64276"
"Crow Wing","Crow Wing","Crow Wing County","27035","MN","Minnesota","46.4824","-94.0709","64217"
"Lake","Lake","Lake County","06033","CA","California","39.0996","-122.7532","64195"
"Hamblen","Hamblen","Hamblen County","47063","TN","Tennessee","36.2171","-83.2667","64132"
"Walker","Walker","Walker County","01127","AL","Alabama","33.8033","-87.2973","64110"
"Starr","Starr","Starr County","48427","TX","Texas","26.5621","-98.7387","64078"
"Sauk","Sauk","Sauk County","55111","WI","Wisconsin","43.4267","-89.9482","63922"
"Tehama","Tehama","Tehama County","06103","CA","California","40.1256","-122.2341","63912"
"Chippewa","Chippewa","Chippewa County","55017","WI","Wisconsin","45.0694","-91.2798","63892"
"Carbon","Carbon","Carbon County","42025","PA","Pennsylvania","40.9182","-75.7088","63887"
"Mason","Mason","Mason County","53045","WA","Washington","47.3484","-123.1927","63804"
"Pope","Pope","Pope County","05115","AR","Arkansas","35.4476","-93.0342","63761"
"Coos","Coos","Coos County","41011","OR","Oregon","43.1742","-124.0594","63686"
"Livingston","Livingston","Livingston County","36051","NY","New York","42.7281","-77.7755","63591"
"Clay","Clay","Clay County","27027","MN","Minnesota","46.8924","-96.4907","63446"
"Montcalm","Montcalm","Montcalm County","26117","MI","Michigan","43.3110","-85.1525","63413"
"Sampson","Sampson","Sampson County","37163","NC","North Carolina","34.9915","-78.3714","63385"
"Salem","Salem","Salem County","34033","NJ","New Jersey","39.5876","-75.3491","62990"
"Reno","Reno","Reno County","20155","KS","Kansas","37.9530","-98.0860","62765"
"Crawford","Crawford","Crawford County","05033","AR","Arkansas","35.5885","-94.2429","62739"
"Acadia","Acadia","Acadia Parish","22001","LA","Louisiana","30.2905","-92.4120","62457"
"Warrick","Warrick","Warrick County","18173","IN","Indiana","38.0922","-87.2721","62280"
"Herkimer","Herkimer","Herkimer County","36043","NY","New York","43.4197","-74.9625","62057"
"Lamar","Lamar","Lamar County","28073","MS","Mississippi","31.2060","-89.5087","61969"
"Georgetown","Georgetown","Georgetown County","45043","SC","South Carolina","33.4343","-79.3323","61952"
"Garfield","Garfield","Garfield County","40047","OK","Oklahoma","36.3791","-97.7827","61898"
"Washington","Washington","Washington County","36115","NY","New York","43.3137","-73.4308","61616"
"Stanly","Stanly","Stanly County","37167","NC","North Carolina","35.3120","-80.2510","61588"
"Knox","Knox","Knox County","39083","OH","Ohio","40.3988","-82.4215","61481"
"Tipton","Tipton","Tipton County","47167","TN","Tennessee","35.4969","-89.7592","61447"
"Liberty","Liberty","Liberty County","13179","GA","Georgia","31.8281","-81.4947","61349"
"Hall","Hall","Hall County","31079","NE","Nebraska","40.8726","-98.5022","61265"
"Pittsylvania","Pittsylvania","Pittsylvania County","51143","VA","Virginia","36.8213","-79.3971","61256"
"Haywood","Haywood","Haywood County","37087","NC","North Carolina","35.5560","-82.9822","61053"
"Bradford","Bradford","Bradford County","42015","PA","Pennsylvania","41.7887","-76.5154","60963"
"Belknap","Belknap","Belknap County","33001","NH","New Hampshire","43.5179","-71.4227","60887"
"St. Joseph","St. Joseph","St. Joseph County","26149","MI","Michigan","41.9144","-85.5278","60836"
"Barry","Barry","Barry County","26015","MI","Michigan","42.5950","-85.3090","60540"
"Lee","Lee","Lee County","37105","NC","North Carolina","35.4752","-79.1715","60481"
"Effingham","Effingham","Effingham County","13103","GA","Georgia","32.3673","-81.3413","60477"
"Washington","Washington","Washington County","39167","OH","Ohio","39.4553","-81.4953","60426"
"Pender","Pender","Pender County","37141","NC","North Carolina","34.5248","-77.9051","60399"
"San Benito","San Benito","San Benito County","06069","CA","California","36.6057","-121.0750","60376"
"Columbia","Columbia","Columbia County","36021","NY","New York","42.2501","-73.6318","60371"
"Walla Walla","Walla Walla","Walla Walla County","53071","WA","Washington","46.2298","-118.4784","60365"
"Laurel","Laurel","Laurel County","21125","KY","Kentucky","37.1107","-84.1178","60357"
"Lawrence","Lawrence","Lawrence County","39087","OH","Ohio","38.5984","-82.5368","60184"
"Otsego","Otsego","Otsego County","36077","NY","New York","42.6338","-75.0326","59972"
"Mercer","Mercer","Mercer County","54055","WV","West Virginia","37.4055","-81.1114","59919"
"Vermilion","Vermilion","Vermilion Parish","22113","LA","Louisiana","29.8465","-92.3238","59865"
"Pike","Pike","Pike County","21195","KY","Kentucky","37.4691","-82.3958","59497"
"Granville","Granville","Granville County","37077","NC","North Carolina","36.3041","-78.6527","59328"
"Cumberland","Cumberland","Cumberland County","47035","TN","Tennessee","35.9504","-84.9984","59216"
"Lowndes","Lowndes","Lowndes County","28087","MS","Mississippi","33.4729","-88.4433","59150"
"Garfield","Garfield","Garfield County","08045","CO","Colorado","39.5993","-107.9040","59055"
"Sandusky","Sandusky","Sandusky County","39143","OH","Ohio","41.3563","-83.1462","59029"
"Duplin","Duplin","Duplin County","37061","NC","North Carolina","34.9365","-77.9330","58967"
"Rutland","Rutland","Rutland County","50021","VT","Vermont","43.5801","-73.0366","58892"
"Kenai Peninsula","Kenai Peninsula","Kenai Peninsula Borough","02122","AK","Alaska","60.2654","-151.5652","58464"
"Washington","Washington","Washington County","50023","VT","Vermont","44.2734","-72.6149","58350"
"Huron","Huron","Huron County","39077","OH","Ohio","41.1462","-82.5984","58339"
"Hood","Hood","Hood County","48221","TX","Texas","32.4300","-97.8323","58318"
"Otter Tail","Otter Tail","Otter Tail County","27111","MN","Minnesota","46.4088","-95.7080","58195"
"Newton","Newton","Newton County","29145","MO","Missouri","36.9055","-94.3393","58180"
"Maverick","Maverick","Maverick County","48323","TX","Texas","28.7425","-100.3145","58174"
"Jackson","Jackson","Jackson County","17077","IL","Illinois","37.7851","-89.3821","57977"
